,timestamp,Unnamed: 0,id,raw_table_id,sample_temp,sample_rh,sample_pres,pm1,pm25,pm10,lat,lon,pm1_model_id,pm25_model_id,pm10_model_id,sn,PMc
39,2021-08-02 15:00:00,9106.5,32559550.266666666,32559965.183333334,16.28816666666667,72.31966666666668,0.0,2.495626666666666,3.200356666666666,5.932781666666669,38.29299999999997,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,1.8537876507514277
39,2021-08-02 15:00:00,9149.5,32559512.833333332,32559927.85,15.431166666666662,83.09749999999998,0.0,5.090708333333333,7.503323333333331,18.112256666666674,,,1654.0,1653.0,1652.0,MOD-PM-00102,2.4138979305614376
39,2021-08-02 15:00:00,9149.5,32559488.55,32559903.55,19.75383333333333,85.13700000000001,0.0,4.019613333333331,6.760185000000002,8.946724999999997,40.77700000000003,-111.94599999999993,1917.0,1918.0,1919.0,MOD-PM-00178,1.323443811079134
39,2021-08-02 15:00:00,9108.5,32559534.433333334,32559949.383333333,21.75833333333333,56.66666666666668,0.0,4.252408333333333,5.312096666666665,8.179576666666668,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.5398019237852731
39,2021-08-02 15:00:00,8703.0,32559432.58490566,32559847.58490566,39.8756603773585,12.073018867924528,0.0,2.4166773584905665,3.302677358490568,12.419250943396227,33.72000000000002,-116.1899999999999,1916.0,1915.0,1914.0,MOD-PM-00177,3.7603585198743823
39,2021-08-02 15:00:00,9113.5,32559509.35,32559924.383333333,18.0065,60.77683333333333,0.0,1.3980283333333337,1.8207833333333336,3.4236300000000006,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,1.8803060953618864
39,2021-08-02 15:00:00,9146.5,32559445.633333333,32559860.65,19.28683333333333,66.18,0.0,6.182931666666664,8.112680000000001,19.066505,64.84580000000004,-147.72727000000006,1899.0,1900.0,1901.0,MOD-PM-00170,2.35021041135605
39,2021-08-02 15:00:00,9147.5,32559467.466666665,32559882.466666665,20.45833333333332,51.59066666666666,0.0,2.6443416666666675,3.3087299999999993,9.344415000000001,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,2.8241696965300895
39,2021-08-02 15:00:00,9113.5,32559509.35,32559924.383333333,18.0065,60.77683333333333,0.0,1.3980283333333337,1.8207833333333336,3.4236300000000006,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,1.8803060953618864
40,2021-08-02 16:00:00,9048.5,32566671.133333333,32567086.1,25.5715,44.29483333333335,0.0,3.740586666666667,4.569845000000003,7.153555000000002,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.565382414502023
40,2021-08-02 16:00:00,9087.5,32566604.75,32567019.75,21.025666666666666,50.318333333333335,0.0,2.5331699999999993,2.993695,7.160716666666667,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,2.391932600571089
40,2021-08-02 16:00:00,9086.5,32566582.883333333,32566997.916666668,24.514,48.85416666666664,0.0,6.0592516666666665,7.168991666666666,13.416886666666663,64.84580000000004,-147.72727000000006,1899.0,1900.0,1901.0,MOD-PM-00170,1.8715165661372644
40,2021-08-02 16:00:00,9053.5,32566646.35,32567061.333333332,19.907833333333333,55.651999999999994,0.0,2.159278333333334,2.864955,5.8000750000000005,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,2.0244907860681933
40,2021-08-02 16:00:00,9046.5,32566687.016666666,32567102.033333335,19.540166666666664,58.905833333333334,0.0,2.0419183333333337,2.6175066666666664,6.331128333333331,38.29299999999997,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,2.418763021297621
40,2021-08-02 16:00:00,9089.5,32566649.566666666,32567064.566666666,20.177500000000002,63.34766666666668,0.0,4.385985,5.057261666666666,7.701308333333335,,,1654.0,1653.0,1652.0,MOD-PM-00102,1.5228218037627086
40,2021-08-02 16:00:00,9084.5,32566643.6,32567058.616666667,30.045666666666666,32.424666666666674,0.0,0.9896633333333333,1.3849266666666664,4.692503333333334,38.2852,-122.29201999999991,1898.0,1897.0,1896.0,MOD-PM-00168,3.3882684522405526
40,2021-08-02 16:00:00,9089.5,32566625.15,32567040.15,20.139499999999995,83.4223333333333,0.0,3.620968333333335,5.496498333333332,7.216933333333334,40.77700000000003,-111.94599999999993,1917.0,1918.0,1919.0,MOD-PM-00178,1.3130056438963114
40,2021-08-02 16:00:00,9053.5,32566646.35,32567061.333333332,19.907833333333333,55.651999999999994,0.0,2.159278333333334,2.864955,5.8000750000000005,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,2.0244907860681933
40,2021-08-02 16:00:00,8648.0,32566680.701754387,32567095.701754387,43.96333333333334,10.214385964912275,0.0,3.3830807017543854,4.155394736842104,10.01426842105263,33.72000000000002,-116.18999999999987,1916.0,1915.0,1914.0,MOD-PM-00177,2.4099439536430136
41,2021-08-02 17:00:00,8993.5,32573789.183333334,32574204.183333334,22.78466666666667,47.56583333333332,0.0,0.9550083333333335,1.316343333333333,2.643158333333332,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,2.0079551180922905
41,2021-08-02 17:00:00,9029.5,32573767.45,32574182.45,20.964999999999996,80.48,0.0,4.455163333333334,6.254279999999999,8.238808333333331,40.77700000000003,-111.94599999999993,1917.0,1918.0,1919.0,MOD-PM-00178,1.3173072413344675
41,2021-08-02 17:00:00,8986.5,32573830.166666668,32574245.25,22.058666666666664,50.95916666666665,0.0,1.9424583333333334,2.6242533333333347,8.530245,38.29299999999997,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,3.2505417413969164
41,2021-08-02 17:00:00,9026.5,32573725.85,32574140.85,28.64716666666666,39.34333333333335,0.0,5.576736666666667,6.187911666666666,9.544054999999997,64.84580000000004,-147.72727000000006,1899.0,1900.0,1901.0,MOD-PM-00170,1.542370918352368
41,2021-08-02 17:00:00,8589.5,32573816.7,32574231.666666668,45.930666666666674,9.175666666666666,0.0,3.280363333333334,3.8466616666666678,8.985794999999998,33.72000000000002,-116.18999999999986,1916.0,1915.0,1914.0,MOD-PM-00177,2.335998270361702
41,2021-08-02 17:00:00,9029.5,32573792.45,32574207.433333334,24.194000000000006,50.28416666666666,0.0,4.270048333333334,5.0063216666666674,9.938476666666666,,,1654.0,1653.0,1652.0,MOD-PM-00102,1.9851853972627271
41,2021-08-02 17:00:00,8988.5,32573815.333333332,32574230.333333332,29.239666666666658,35.703833333333336,0.0,3.532966666666668,4.277685,7.188210000000001,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.680397224199538
41,2021-08-02 17:00:00,8993.5,32573789.183333334,32574204.183333334,22.78466666666667,47.56583333333332,0.0,0.9550083333333335,1.316343333333333,2.643158333333332,38.32,-122.31000000000016,1929.0,1930.0,1931.0,MOD-PM-00185,2.0079551180922905
41,2021-08-02 17:00:00,9024.5,32573786.05,32574201.016666666,35.23916666666667,24.432999999999996,0.0,0.8338966666666665,1.197965,4.367703333333333,38.2852,-122.29201999999991,1898.0,1897.0,1896.0,MOD-PM-00168,3.6459356770300744
41,2021-08-02 17:00:00,9027.5,32573747.666666668,32574162.65,21.965833333333332,47.972833333333334,0.0,2.5914900000000003,3.242179999999999,9.380553333333332,38.559,-122.5429999999999,1922.0,1921.0,1920.0,MOD-PM-00179,2.893285793303683
42,2021-08-02 18:00:00,8927.0,32580906.72881356,32581321.77966102,24.813389830508477,42.53525423728814,0.0,1.5143135593220334,2.061054237288135,5.816233898305085,38.292999999999964,-122.26800000000001,1893.0,1894.0,1895.0,MOD-PM-00164,2.8219703261947573
42,2021-08-02 18:00:00,8929.0,32580897.627118643,32581312.627118643,31.58881355932203,32.69593220338983,0.0,3.6190474576271185,4.4241237288135595,7.532625423728814,35.25900000000001,-120.64400000000018,1905.0,1906.0,1907.0,MOD-PM-00172,1.7026253978093144
42,2021-08-02 18:00:00,8969.5,32580921.066666666,32581336.083333332,26.675666666666665,44.45083333333333,0.0,3.934573333333334,4.557043333333332,9.612428333333337,,,1654.0,1653.0,1652.0,MOD-PM-00102,2.109356358984226
